run, pmt_bottom_voltage [V], pmt_top_voltage [V], Notes
465, -600, -670, reci on/getter on
466, -600, -670, reci on/getter on
467, -600, -670, reci on/getter on
468, -600, -670, reci on/getter on
469, -600, -670, reci on/getter on
470, -600, -670, reci on/getter on
471, -600, -670, reci on/getter on
472, -600, -670, reci on/getter on
473, -600, -670, reci on/getter on
474, -600, -670, reci on/getter on
475, -600, -670, reci on/getter on
476, -600, -670, reci on/getter on
477, -600, -670, reci on/getter on
478, -600, -670, reci on/getter on
479, -600, -670, reci on/getter on
480, -600, -670, reci on/getter on
481, -600, -670, reci on/getter on
482, -580, -580, reci on/getter on
483, -580, -580, reci on/getter on
484, -580, -580, reci on/getter on
485, -580, -580, reci on/getter on
486, -580, -580, reci on/getter on-digitizer threshold 50mV
487, -580, -580, reci on/getter on-digitizer threshold 100mV
488, -580, -580, reci on/getter on-digitizer threshold 200mV
489, -580, -580, reci on/getter on-digitizer threshold 200mV
490, -580, -580, reci on/getter on
493, -500, -590, reci on/getter on-digitizer threshold 100mV
494, -520, -590, reci on/getter on-digitizer threshold 100mV
495, -520, -590, reci on/getter on-digitizer threshold 100mV
496, -520, -590, reci on/getter on-digitizer threshold 100mV
497, -520, -590, reci on/getter on-digitizer threshold 100mV
498, -520, -590, reci on/getter on-digitizer threshold 100mV
499, -520, -590, reci on/getter on-digitizer threshold 100mV
500, -520, -590, reci on/getter on-digitizer threshold 100mV
501, -520, -590, reci on/getter on-digitizer threshold 100mV
502, -520, -590, reci on/getter on-digitizer threshold 100mV
503, -520, -590, reci on/getter on-digitizer threshold 200mV
504, -520, -590, reci on/getter on-digitizer threshold 200mV
505, -520, -590, reci on/getter on-digitizer threshold 200mV
506, -520, -590, reci on/getter on-digitizer threshold 200mV
507, -520, -590, reci on/getter on-digitizer threshold 200mV
508, -520, -590, reci on/getter on-digitizer threshold 200mV
509, -520, -590, reci on/getter on-digitizer threshold 200mV
510, -520, -590, reci on/getter on-digitizer threshold 200mV
511, -520, -590, reci on/getter on-digitizer threshold 200mV
512, -520, -590, reci on/getter on-digitizer threshold 200mV
513, -520, -590, reci on/getter on-digitizer threshold 200mV
514, -520, -590, reci on/getter on-digitizer threshold 200mV
515, -520, -590, reci on/getter on-digitizer threshold 200mV
517, -520, -590, reci on/getter on-digi th 200mV-ch th 100mV
518, -520, -590, reci on/getter on-digi th 200mV-ch th 100mV
519, -520, -590, reci on/getter on-digi th 200mV-ch th 100mV
520, -520, -590, reci on/getter on-digi th 200mV-ch th 100mV
521, -520, -590, reci on/getter on-digi th 200mV-ch th 100mV
525, -550, -550, reci on/getter on-low threshold
528, -550, -550, reci on/getter on-digitizer threshold 200mV
530, -650, -650, reci on/getter on-low threshold
531, -650, -650, reci on/getter on-digitizer threshold 200mV
532, -700, -700, reci on/getter on-low threshold
534, -700, -700, reci on/getter on-digitizer threshold 200mV
536, -700, -700, reci on/getter on-digi th 200mV-50ohm terminator
537, -700, -700, reci on/getter on-digi th 200mV-50ohm terminator
538, -700, -700, reci on/getter off-digi th 200mV
539, -700, -700, reci on/getter off-digi th 200mV
540, -700, -700, reci on/getter off-digi th 200mV
541, -700, -700, reci off/getter off-digi th 200mV
542, -700, -700, reci off/getter off-digi th 200mV
543, -700, -700, reci off/getter off-digi th 200mV
544, -700, -700, reci off/getter off-digi th 200mV
545, -700, -700, reci off/getter off-digi th 200mV
546, -700, -700, reci off/getter off-digi th 200mV
547, -700, -700, reci off/getter off-digi th 200mV
548, -700, -700, reci off/getter off-digi th 200mV
549, -700, -700, reci off/getter off-digi th 200mV
550, -700, -700, reci off/getter off-digi th 200mV
551, -700, -700, reci off/getter off-digi th 200mV
552, -700, -700, reci off/getter off-digi th 200mV
553, -700, -700, reci off/getter off-digi th 200mV
554, -700, -700, reci off/getter off-digi th 200mV
555, -700, -700, reci off/getter off-digi th 200mV
556, -700, -700, reci off/getter off-digi th 200mV
557, -700, -700, reci off/getter off-digi th 200mV
558, -700, -700, reci off/getter off-digi th 200mV
559, -700, -700, reci off/getter off-digi th 200mV
560, -700, -700, reci off/getter off-digi th 200mV
560, -700, -700, reci off/getter off-digi th 200mV
561, -700, -700, reci off/getter off-digi th 200mV
562, -700, -700, reci off/getter off-digi th 200mV
563, -700, -700, reci off/getter off-digi th 200mV
564, -700, -700, reci off/getter off-digi th 200mV
565, -700, -700, reci off/getter off-digi th 200mV
566, -700, -700, reci off/getter off-digi th 200mV
567, -700, -700, reci on/getter on-digi th 200mV
568, -520, -590, reci on/getter on-digi th 200mV
569, -520, -590, reci on/getter on-digi th 200mV-new HV cables
570, -620, -740, reci on/getter on-digi th 500mV-new HV cables
571, -520, -590, reci on/getter on-digi th 200mV-new signal cables
572, -520, -590, reci on/getter on-digi th 200mV-new signal cables-50ohm terminator
574, -520, -590, reci on/getter on
575, -520, -590, reci on/getter on
576, -520, -590, reci on/getter off
577, -520, -590, reci on/getter off
578, -520, -590, reci off/getter off
